Id,Category
1,gettonre+V
2,incidentale+A
3,involtinoare+N
4,lire+V
5,comunistizzare+V
6,vidimare+V
7,imbrodre+V
8,strillare+V
9,cifrare+V
10,compassare+V
11,cuare+V
12,snobbavatre+N
13,tessere+V
14,coagular+N
15,somatizzare+V
16,impoverimento+N
17,smungiare+V
18,abbuffare+V
19,meravigliare+V
20,risucchiare+V
21,sesquipedal+N
22,timido+N
23,nauseare+V
24,ingozzare+V
25,stiminoare+N
26,relazionao+N
27,sorridre+V
28,illumo+N
29,concitare+V
30,dissecare+V
31,deregolamentare+V
32,elettrizzre+V
33,ripioe+V
34,ottimizzare+V
35,accordare+V
36,barrare+V
37,arguire+V
38,sfuggi+V
39,ritorrre+V
40,rifiatare+V
41,sgobbre+V
42,adoprare+V
43,abbigliare+V
44,complimentre+V
45,plural+N
46,soprassere+V
47,affermare+V
48,frusciare+V
49,amareggiare+V
50,autoalimentavamore+N
51,escutare+V
52,secrre+V
53,talentare+V
54,derapare+V
55,distinguire+V
56,frizzar+N
57,sincopare+V
58,tentacolare+V
59,scomponibile+A
60,microbiologo+N
61,disinnestare+V
62,foracchiare+V
63,fertilizzare+V
64,smaniare+V
65,infischiare+V
66,semicircolre+V
67,cotoare+V
68,fiorir+N
69,collocabil+N
70,decantare+V
71,tradizionalismo+N
72,fornito+A
73,acclimatare+V
74,infangare+V
75,sterilizzare+V
76,evoluire+V
77,inserre+V
78,sintonizzare+V
79,imperre+V
80,professare+V
81,svantaggiare+V
82,appaltare+V
83,spaccare+V
84,astrologo+N
85,biascicare+A
86,scapitare+V
87,rivoltre+V
88,sgomentare+V
89,disattrezzre+V
90,nomre+V
91,viado+N
92,mangiucchiare+V
93,guaire+V
94,abbuffare+V
95,vagare+V
96,ricomunicare+V
97,attraccare+V
98,delineare+V
99,antilicenziamento+N
100,dittatorio+N
101,anticostituzional+N
102,standardizzare+V
103,sintonizzinare+N
104,sincerare+V
105,girovagare+V
106,sincerare+V
107,decadire+A
108,ammorbatre+N
109,bulinavre+N
110,arricciare+V
111,aiol+N
112,ricomunicare+V
113,cre+V
114,molrre+V
115,sintonizzare+V
116,preavvisare+V
117,sessantotto+N
118,elaborato+A
119,affumicare+V
120,mugghiare+V
121,lasciare+V
122,eccedare+V
123,torturator+N
124,palesar+N
125,ingessare+V
126,posizionare+V
127,premettare+V
128,naturalistico+N
129,prevae+V
130,inviperiremo+N
131,rimontare+V
132,putrefare+V
133,denotare+V
134,furtire+V
135,inguao+N
136,bisbore+V
137,ghermie+V
138,sillogizzare+V
139,sgelre+V
140,scevare+V
141,commettre+V
142,lerrre+V
143,svoltare+V
144,rimembrre+V
145,corallin+N
146,appare+V
147,scolare+V
148,invidiare+V
149,defluire+V
150,preordinare+V
151,citofonatre+N
152,annualizzinoare+N
153,dileguavamore+N
154,pupillare+V
155,ammaestrare+V
156,superbollo+N
157,mugolre+V
158,rimpatro+N
159,riallunghinoare+N
160,appuntare+V
161,complimentoso+N
162,tergiversare+V
163,scarnificare+V
164,confluirebber+N
165,serbare+V
166,immergare+V
167,avvaler+V
168,coreografare+V
169,ammutolire+V
170,sovrapproduzione+N
171,cruscheggare+V
172,controfirmare+V
173,enfatizzare+V
174,stipulare+N
175,interpellre+V
176,vigilare+V
177,prolure+V
178,lessico+N
179,incatramare+V
180,molrre+V
181,fratturre+V
182,caramellos+A
183,insilare+V
184,bahiano+N
185,riscontare+V
186,sorprenere+V
187,chiamare+V
188,crepuscolare+V
189,impermalare+V
190,frammentare+V
191,apparterre+A
192,spiare+V
193,ritagliare+V
194,scagionare+V
195,autoconvinre+V
196,emulare+V
197,incendiare+V
198,strapagare+V
199,affascinare+V
200,debilitatre+N
201,distinguire+V
202,sgobbare+V
203,risanatore+N
204,insalubra+N
205,intasare+V
206,accoccolare+V
207,espungire+V
208,pispigliare+V
209,disarmonico+N
210,verseggiare+V
211,ingraziare+V
212,srotolastre+N
213,normalizzare+V
214,decontestualizzare+V
215,rivendre+V
216,attristare+V
217,appesantivo+A
218,abbottonare+V
219,fiociare+V
220,vitalismo+N
221,frazionabile+A
222,impermeabilizzavatre+N
223,specificre+V
224,reinserire+V
225,circospre+V
226,sventagliare+V
227,assicurare+A
228,tronco+N
229,infiammavatre+N
230,dissechinoare+N
231,desinare+V
232,speronare+V
233,inscatolare+V
234,sfrangare+V
235,assaporare+V
236,stereotipizzare+V
237,rubacchiavre+N
238,allargare+V
239,inquadrare+V
240,soggiornare+V
241,spaginatre+N
242,avvagliere+V
243,discacciare+V
244,debilitare+V
245,spoetizzare+V
246,rincantucciare+V
247,mummificare+V
248,intingre+V
249,insinuare+V
250,erigere+V
251,pioviggo+N
252,impalcatre+N
253,intasare+V
254,stordire+V
255,ortodossio+N
256,destrutturare+V
257,magnetizzre+V
258,imbandierare+V
259,compassare+V
260,contrappoire+V
261,incapricciare+V
262,chioccolare+V
263,bibliofile+N
264,precludare+V
265,ricre+V
266,comunicare+V
267,juventin+N
268,raffrenare+V
269,chiavare+V
270,pugnalare+V
